date,open,high,low,close,adj close,volume
2019-07-03,297.179993,298.820007,297.019989,298.799988,292.951935,40898900
2019-07-05,297.440002,298.640015,296.010010,298.459991,292.618591,51677300
2019-07-08,297.010010,298.260010,296.220001,296.820007,291.010712,45841800
2019-07-09,295.540009,297.519989,295.480011,297.190002,291.373474,41101300
2019-07-10,298.369995,299.660004,297.779999,298.609985,292.765656,58448500
2019-07-11,299.320007,299.579987,298.200012,299.309998,293.451996,50826100
2019-07-12,299.850006,300.730011,299.510010,300.649994,294.765747,40326000
2019-07-15,301.130005,301.130005,300.190002,300.750000,294.863800,33900000
2019-07-16,300.649994,300.880005,299.440002,299.779999,293.912781,36650100
2019-07-17,299.750000,299.929993,297.739990,297.739990,291.912720,36036300
2019-07-18,297.190002,299.250000,296.700012,298.829987,292.981354,51392600
2019-07-19,300.040009,300.070007,296.980011,297.170013,291.353912,58678600
2019-07-22,297.609985,298.500000,297.040009,297.899994,292.069580,43638100
2019-07-23,299.140015,300.029999,298.220001,300.029999,294.157898,44564500
2019-07-24,299.190002,301.440002,299.089996,301.440002,295.540283,47213200
2019-07-25,300.940002,301.000000,299.109985,300.000000,294.128479,55394100
2019-07-26,300.760010,302.230011,300.619995,302.010010,296.099121,45084100
2019-07-29,301.880005,302.010010,300.850006,301.459991,295.559875,38126500
2019-07-30,299.910004,301.170013,299.489990,300.720001,294.834351,45849000
2019-07-31,300.989990,301.200012,295.200012,297.429993,291.608765,104245200
2019-08-01,297.600006,300.869995,293.959991,294.839996,289.069489,142646600
2019-08-02,293.850006,294.119995,290.899994,292.619995,286.892883,116749700
2019-08-05,288.089996,288.209991,281.720001,283.820007,278.265137,178745400
2019-08-06,285.910004,288.040009,284.279999,287.799988,282.167236,120711700
2019-08-07,284.399994,288.820007,282.040009,287.970001,282.333954,140572300
2019-08-08,289.619995,293.619995,289.010010,293.619995,287.873322,87713900
2019-08-09,292.579987,293.239990,289.649994,291.619995,285.912476,93730000
2019-08-12,289.959991,291.609985,287.019989,288.070007,282.432007,62629500
2019-08-13,287.739990,294.149994,287.359985,292.549988,286.824280,94299800
2019-08-14,288.070007,288.739990,283.760010,283.899994,278.343597,135622100
2019-08-15,284.880005,285.640015,282.390015,284.649994,279.078888,99556600
2019-08-16,286.480011,289.329987,284.709991,288.850006,283.196716,83018300
2019-08-19,292.190002,293.079987,291.440002,292.329987,286.608582,53571800
2019-08-20,291.769989,292.359985,289.950012,290.089996,284.412445,51596400
2019-08-21,292.480011,292.859985,291.720001,292.450012,286.726257,49524700
2019-08-22,293.230011,293.929993,290.399994,292.359985,286.637970,51666400
2019-08-23,290.920013,292.760010,283.470001,284.850006,279.275024,149161500
2019-08-26,287.269989,288.000000,285.579987,288.000000,282.363342,72423800
2019-08-27,289.540009,289.950012,286.029999,286.869995,281.255432,66668900
2019-08-28,286.140015,289.070007,285.250000,288.890015,283.235931,59696700
2019-08-29,291.720001,293.160004,290.609985,292.579987,286.853699,57899400
2019-08-30,294.220001,294.239990,291.420013,292.450012,286.726257,62901200
2019-09-03,290.570007,291.579987,289.269989,290.739990,285.049683,69101400
2019-09-04,293.140015,294.059998,292.309998,294.040009,288.285126,46887300
2019-09-05,296.790009,298.829987,294.000000,297.820007,291.991150,83258100
2019-09-06,298.170013,298.760010,297.420013,298.049988,292.216644,49584300
2019-09-09,299.140015,299.239990,297.160004,298.200012,292.363708,51260300
2019-09-10,297.359985,298.200012,295.970001,298.130005,292.295074,57947100
2019-09-11,298.470001,300.339996,297.750000,300.250000,294.373596,68821100
2019-09-12,301.250000,302.459991,300.410004,301.290009,295.393219,72908700
2019-09-13,301.779999,302.170013,300.679993,301.089996,295.197144,62104800
2019-09-16,299.839996,301.140015,299.450012,300.160004,294.285339,58191200
2019-09-17,299.940002,301.019989,299.750000,300.920013,295.030457,41475500
2019-09-18,300.489990,301.220001,298.239990,301.100006,295.206940,73375800
2019-09-19,301.529999,302.630005,300.709991,301.079987,295.187317,76560500
2019-09-20,300.359985,300.670013,297.410004,298.279999,293.792633,89565000
2019-09-23,297.549988,299.000000,297.269989,298.209991,293.723663,43476800
2019-09-24,299.410004,299.839996,294.809998,295.869995,291.418884,94869400
2019-09-25,295.959991,298.109985,294.329987,297.619995,293.142548,71854000
2019-09-26,297.630005,297.859985,295.450012,297.000000,292.531891,56179700
2019-09-27,297.829987,297.950012,293.690002,295.399994,290.955963,84746600
2019-09-30,295.970001,297.549988,295.920013,296.769989,292.305328,51662400
2019-10-01,297.739990,298.459991,293.000000,293.239990,288.828430,88242400
2019-10-02,291.500000,291.510010,286.640015,288.059998,283.726379,122539500
2019-10-03,287.809998,290.450012,284.820007,290.420013,286.050903,85278800
2019-10-04,291.140015,294.630005,291.079987,294.350006,289.921753,65091200
2019-10-07,293.470001,295.260010,292.769989,293.079987,288.670868,59610500
2019-10-08,291.040009,291.850006,288.489990,288.529999,284.189331,95708100
2019-10-09,290.750000,292.299988,290.059998,291.269989,286.888092,62359400
2019-10-10,291.179993,294.209991,291.000000,293.239990,288.828430,55296300
2019-10-11,296.269989,298.739990,296.140015,296.279999,291.822723,98720400
2019-10-14,295.929993,296.670013,295.570007,295.950012,291.497681,40394800
2019-10-15,297.100006,299.700012,296.970001,298.880005,294.383606,46754500
2019-10-16,298.369995,299.160004,297.920013,298.399994,293.910828,48928200
2019-10-17,299.679993,300.239990,298.519989,299.279999,294.777588,45736600
2019-10-18,298.690002,299.399994,297.029999,297.970001,293.487305,64304000
2019-10-21,299.420013,300.209991,298.940002,299.989990,295.476868,39048600
2019-10-22,300.579987,300.899994,298.910004,299.010010,294.511658,48594700
2019-10-23,298.730011,299.940002,298.500000,299.880005,295.368561,34352200
2019-10-24,300.910004,301.070007,299.459991,300.369995,295.851196,35453100
2019-10-25,299.739990,302.200012,299.679993,301.600006,297.062683,45205400
2019-10-28,302.940002,303.850006,302.910004,303.299988,298.737091,42147000
2019-10-29,303.000000,304.230011,302.859985,303.209991,298.648468,44284900
2019-10-30,303.429993,304.549988,301.989990,304.140015,299.564484,49643900
2019-10-31,304.130005,304.130005,301.730011,303.329987,298.766663,69053800
2019-11-01,304.920013,306.190002,304.739990,306.140015,301.534393,71141500
2019-11-04,307.850006,308.000000,306.959991,307.369995,302.745880,60606900
2019-11-05,307.589996,307.920013,306.709991,307.029999,302.410980,42933200
2019-11-06,307.029999,307.399994,306.059998,307.100006,302.479919,46487100
2019-11-07,308.570007,309.649994,307.660004,308.179993,303.543671,54272300
2019-11-08,307.799988,309.000000,307.029999,308.940002,304.292267,49032100
2019-11-11,307.420013,308.540009,307.269989,308.350006,303.711151,35797300
2019-11-12,308.750000,309.989990,308.149994,309.000000,304.351349,46484600
2019-11-13,307.910004,309.540009,307.660004,309.100006,304.449860,53917700
2019-11-14,308.790009,309.640015,308.089996,309.549988,304.893066,51219900
2019-11-15,311.019989,311.839996,310.260010,311.790009,307.099396,62023600
2019-11-18,311.529999,312.279999,311.029999,312.019989,307.325897,49228000
2019-11-19,312.679993,312.690002,311.220001,311.929993,307.237274,67804700
2019-11-20,311.279999,311.850006,309.059998,310.769989,306.094727,79406200
